bone_id,period_class,group_order,sentence_simple,surface_form,canonical_entity_id,canonical_name,entity_phase,entity_type,entity_subtype,entity_role,rule_hit,confidence,linked_entity_id
H30309,無名,0,于宗王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30319,何二,0,貞王其𫹉򨃖于佑宗佑大雨,王,KING_何二,King (何二),living,human,king,agent,living_king_with_action,medium,
H30323,無名,0,未释未释卜祖丁𠯑𪧭宗王未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30324,無名,0,王其佑妣庚𪧭宗王未释未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30326,無名,0,𪧭宗王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30334,無名,0,其佑未释未释小乙賓宗,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H30338,無名,0,王其雚宗未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30342,無名,0,未释宗王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30347,何一,1,貞于賓,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H30347,何一,3,未释亥卜未释于賓,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H30348,無名,1,祖丁升鬯卯叀牛王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30349,無名,1,至祖丁升王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30349,無名,2,未释亥卜王未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30358,無名,1,發王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30359,無名,0,癸亥卜其佑月歲于父甲升王受有祐,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30384,何一,0,未释未释卜貯未释賓未释示亡尤,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H30388,何二,0,未释叀五鼓未释上帝若王未释有祐,王,KING_何二,King (何二),living,human,king,agent,living_king_alone,low,
H30391,無名,1,王佑歲于帝五臣正隹亡雨,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30398,無名,0,叀未释未释用王未释佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
