bone_id,group_type,group_order,period_class,sentence_simple,theme,detail_json
H30039,InscriptionSentence,0,無名,于翊日戊𫹉佑大雨,rain,"{""keyword"": ""雨""}"
H30039,InscriptionSentence,0,無名,于翊日戊𫹉佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30040,InscriptionSentence,0,無名,不雨,rain,"{""keyword"": ""雨""}"
H30040,InscriptionSentence,1,無名,其雨,rain,"{""keyword"": ""雨""}"
H30040,InscriptionSentence,2,無名,叀翊日戊佑大雨,rain,"{""keyword"": ""雨""}"
H30040,InscriptionSentence,2,無名,叀翊日戊佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30040,InscriptionSentence,3,無名,叀辛佑大雨,rain,"{""keyword"": ""雨""}"
H30040,InscriptionSentence,3,無名,叀辛佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30041,InscriptionSentence,0,無名,于翊日丙󉽁佑大雨,rain,"{""keyword"": ""雨""}"
H30041,InscriptionSentence,0,無名,于翊日丙󉽁佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30043,InscriptionSentence,0,無名,翊日壬歸佑大雨,rain,"{""keyword"": ""雨""}"
H30043,InscriptionSentence,0,無名,翊日壬歸佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30044,InscriptionSentence,0,無名,皆未释二田喪盂佑大雨,rain,"{""keyword"": ""雨""}"
H30044,InscriptionSentence,0,無名,皆未释二田喪盂佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30045,InscriptionSentence,1,無名,于未释佑大雨,rain,"{""keyword"": ""雨""}"
H30045,InscriptionSentence,1,無名,于未释佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30045,InscriptionSentence,2,無名,大雨,rain,"{""keyword"": ""雨""}"
H30047,InscriptionSentence,0,無名,己巳卜其尋禱佑大雨,rain,"{""keyword"": ""雨""}"
H30047,InscriptionSentence,0,無名,己巳卜其尋禱佑大雨,ritual,"{""verb_type"": ""strong"", ""verbs"": [""禱""], ""target_type"": ""other""}"
H30047,InscriptionSentence,1,無名,未释佑雨,rain,"{""keyword"": ""雨""}"
